id,name,description
document-embedding,Document Embedding,
document-enhancement,Document Enhancement,
document-image-classification,Document Image Classification,"Document image classification is the task of classifying documents based on images of their contents.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Real-Time Document Image Classification using Deep CNN and Extreme Learning Machines](https://arxiv.org/pdf/1711.05862v1.pdf) )</span>"
document-image-skew-estimation,Document Image Skew Estimation,
document-layout-analysis,Document Layout Analysis,"""**Document Layout Analysis** is performed to determine physical structure of a document, that is, to determine document components. These document components can consist of single connected components-regions [...] of
pixels that are adjacent to form single regions [...] , or group
of text lines. A text line is a group of characters, symbols,
and words that are adjacent, “relatively close” to each other
and through which a straight line can be drawn (usually with
horizontal or vertical orientation).""  L. O'Gorman, ""The document spectrum for page layout analysis,"" in IEEE Transactions on Pattern Analysis and Machine Intelligence, vol. 15, no. 11, pp. 1162-1173, Nov. 1993.

Image credit: [PubLayNet: largest dataset ever for document layout analysis](https://arxiv.org/pdf/1908.07836v1.pdf)"
document-level-event-extraction,Document-level Event Extraction,
document-level-machine-translation,Document Level Machine Translation,
document-level-relation-extraction,Document-level Relation Extraction,Document-level RE aim to identify the relations of various entity pairs expressed across multiple sentences.
document-level-re-with-incomplete-labeling,Document-level RE with incomplete labeling,
document-ranking,Document Ranking,"Sort documents according to some criterion so that the ""best"" results appear early in the result list displayed to the user (Source: Wikipedia)."
document-shadow-removal,Document Shadow Removal,"Document shadow removal refers to the process of eliminating or reducing the appearance of shadows in scanned or photographed documents. Shadows can occur due to various factors, such as uneven lighting, folds in the paper, or the presence of objects casting shadows during the scanning or capturing process.

Removing shadows from documents is important because they can degrade the readability and quality of the content. Shadows can obscure text or graphics, making it difficult to extract accurate information from the document. By eliminating shadows, the document becomes more legible and suitable for various purposes, including optical character recognition (OCR), document analysis, and archival purposes.

Document shadow removal techniques typically involve image processing and enhancement algorithms. These algorithms analyze the image and identify regions that contain shadows. They then adjust the brightness, contrast, and other image properties in the shadowed areas to minimize or eliminate the shadow effect. This process often requires advanced image analysis and manipulation techniques, such as histogram equalization, adaptive filtering, and image segmentation.

In recent years, machine learning and deep learning approaches have also been applied to document shadow removal. These methods utilize large datasets of shadowed and non-shadowed documents to train models that can automatically detect and remove shadows from new images. The models learn to recognize the characteristics of shadows and generate shadow-free versions of the documents.

Overall, document shadow removal plays a crucial role in improving the quality and legibility of scanned or photographed documents, making them more suitable for various applications in areas such as digital archiving, document analysis, and information extraction."
document-summarization,Document Summarization,"Automatic **Document Summarization** is the task of rewriting a document into its shorter form while still retaining its important content. The most popular two paradigms are extractive approaches and abstractive approaches. Extractive approaches generate summaries by extracting parts of the original document (usually sentences), while abstractive methods may generate new words or phrases which are not in the original document.


<span class=""description-source"">Source: [HIBERT: Document Level Pre-training of Hierarchical Bidirectional Transformers for Document Summarization ](https://arxiv.org/abs/1905.06566)</span>"
document-text-classification,Document Text Classification,
document-to-image-conversion,Document To Image Conversion,
document-translation,Document Translation,
domain-1-1,Domain 1-1,
domain-11-1,Domain 11-1,
domain-11-5,Domain 11-5,
domain-adaptation,Domain Adaptation,"**Domain Adaptation** is the task of adapting models across domains. This is motivated by the challenge where the test and training datasets fall from different data distributions due to some factor. Domain adaptation aims to build machine learning models that can be generalized into a target domain and dealing with the discrepancy across domain distributions. 

Further readings:

- [A Brief Review of Domain Adaptation](https://paperswithcode.com/paper/a-brief-review-of-domain-adaptation)

<span style=""color:grey; opacity: 0.6"">( Image credit: [Unsupervised Image-to-Image Translation Networks](https://arxiv.org/pdf/1703.00848v6.pdf) )</span>"
domain-adaptive-person-re-identification,Domain Adaptive Person Re-Identification,
domain-generalization,Domain Generalization,"The idea of **Domain Generalization** is to learn from one or multiple training domains, to extract a domain-agnostic model which can be applied to an unseen domain


<span class=""description-source"">Source: [Diagram Image Retrieval using Sketch-Based Deep Learning and Transfer Learning ](https://arxiv.org/abs/2004.10780)</span>"
domain-il-continual-learning,Domain-IL Continual Learning,
domain-labelling,Domain Labelling,
domain-motif-prediction,Domain/Motif Prediction,"The domain prediction task which tasks language models with the identification of the domain type within a given protein sequence, which is defined as a compact folded three-dimensional structure."
domain-probing,Domain Probing,
dominance-estimation,Dominance Estimation,
dota-2,Dota 2,"Dota 2 is a multiplayer online battle arena (MOBA). The task is to train one-or-more agents to play and win the game.

<span style=""color:grey; opacity: 0.6"">( Image credit: [OpenAI Five](https://openai.com/five/) )</span>"
dqn-replay-dataset,DQN Replay Dataset,
drawing-pictures,Drawing Pictures,
dreambooth-personalized-generation,DreamBooth Personalized Generation,
drivable-area-detection,Drivable Area Detection,
driver-attention-monitoring,Driver Attention Monitoring,"Driver attention monitoring is the task of monitoring the attention of a driver.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Predicting Driver Attention in Critical Situations](https://arxiv.org/pdf/1711.06406v3.pdf) )</span>"
driver-authentication,Driver Authentication,Identifying who is behind the wheel from a set of drivers.
driver-identification,Driver Identification,Identifying who is behind the wheel from a set of drivers
drone-based-object-tracking,drone-based object tracking,drone-based object tracking
drone-controller,Drone Controller,
drone-navigation,Drone navigation,"(Satellite -> Drone) Given one satellite-view image, the drone intends to find the most relevant place (drone-view images) that it has passed by. According to its flight history, the drone could be navigated back to the target place."
drone-pose-estimation,Drone Pose Estimation,
drone-view-target-localization,Drone-view target localization,"(Drone -> Satellite) Given one drone-view image or video, the task aims to find the most similar satellite-view image to localize the target building in the satellite view."
drs-parsing,DRS Parsing,"Discourse Representation Structures (DRS) are formal meaning representations introduced by Discourse Representation Theory. DRS parsing is a complex task, comprising other NLP tasks, such as semantic role labeling, word sense disambiguation, co-reference resolution and named entity tagging. Also, DRSs show explicit scope for certain operators, which allows for a more principled and linguistically motivated treatment of negation, modals and quantification, as has been advocated in formal semantics. Moreover, DRSs can be translated to formal logic, which allows for automatic forms of inference by third parties.

Description from [NLP Progress](http://nlpprogress.com/english/semantic_parsing.html)"
drug-discovery,Drug Discovery,"Drug discovery is the task of applying machine learning to discover new candidate drugs.

<span style=""color:grey; opacity: 0.6"">( Image credit: [A Turing Test for Molecular Generators](https://pubs.acs.org/doi/10.1021/acs.jmedchem.0c01148) )</span>"
drug-drug-interaction-extraction,Drug–drug Interaction Extraction,"Automatic extraction of Drug-drug interaction (DDI) information from the biomedical literature.

( Image credit: [Using Drug Descriptions and Molecular Structures for Drug-Drug Interaction Extraction from Literature](https://watermark.silverchair.com/btaa907.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAuAwggLcBgkqhkiG9w0BBwagggLNMIICyQIBADCCAsIGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMb9BaAetiYVbvf0_9AgEQgIICk0-IUccCHnqrDDtbnyBSTvPnrWXc4F2vfEMKkxzGRA3-WbynJbw0HptyHyjawXr3c4TeC9ZhIta1szzhc5t1JOhdh8rOo5CTtGk_JPfq14TkMkIISDCvdsVL76fvCn-3KhtAJhHPcyYTDqMaGSb3ltXJLfR6PXoCXnINprcZ3pO6ktuNLA8KF0_CHTITnGNcX1G1n6ZERyGTPwGjodH9Qq9UcYzJCx4N1KKgxOMAj5oxIoLPQi97oNJ3eCoYBoKDuSW-Zza_ULcBDXkkTvt3A460O32vfRAqnnPYlVSuvEiASc3lX8O6Qb28GXc99EIzwDQJEO4znl7haAGOxubuUm5Of9p22xRfc7KSuCh41cJxW_31bsnTuf8Sb2z6O6bFo3aNlxF3SrLfNTHfJH6Tst0WvaaRJ1gQ3JxcFwu--hsZMF9bW3_yzFwP1ZnVIPVtE0bqm3QZt-_nHaE4o9KgCCNY4t70h7U7yD9ZrZMvFnNieSvgL35t--l5PerE9uZgP6v9LUKUyAI1TDHHMameO5794Z7WII8v_MKG0jmUIbr564ENnyKJYunNowu3EbvUMxBv3DSUkepU1kP66tJjSflal3LlRd8LUbj4m2Tin3LteS-09Gje4pyMaeO5RywX_tSPSFGK8QGaZqpgbIU2y23YnCMAnIDOSS3_L3LQRGu50YK5OwEvMY7azpEMbR3kaaHWu_cmEN2Vm61UdG6uLql5pMc9zKfGAQ3E1VXGuhdEalRtuLbtBZ9UFj-vYePfrRGWRXjkg-11SGgKqRaJcLK32yuvhG11KqacCoY169A4G29_GfRC3rbDsnqyMRZ9ESe3FB1NnWwZ4HPNA7ju3yJ7cfZSfYgdygT6oTpBQjaweH5U) )"
drugprot,DrugProt,
drug-response-prediction,Drug Response Prediction,
drum-transcription,Drum Transcription,
duplicate-question-retrieval,Duplicate-Question Retrieval,
dynamic-community-detection,Dynamic Community Detection,community detection in dynamic networks
dynamic-facial-expression-recognition,Dynamic Facial Expression Recognition,
dynamic-graph-embedding,Dynamic graph embedding,
dynamic-link-prediction,Dynamic Link Prediction,
dynamic-reconstruction,Dynamic Reconstruction,
dynamic-region-segmentation,Dynamic Region Segmentation,
dynamic-texture-recognition,Dynamic Texture Recognition,
dynamic-time-warping,Dynamic Time Warping,
dynamic-topic-modeling,Dynamic Topic Modeling,
early-action-prediction,Early Action Prediction,
earthquake-prediction,Earthquake prediction,
earth-surface-forecasting,Earth Surface Forecasting,Conditional forecasting of future multi-spectral imagery.
ecg-based-sleep-staging,ECG based Sleep Staging,Sleep Staging from only ECG signal
ecg-classification,ECG Classification,
ecg-denoising,ECG Denoising,
ecg-patient-identification,ECG Patient Identification,Identifying patients using their electrocardiograms.
ecg-patient-identification-gallery-probe,ECG Patient Identification (gallery-probe),"Identification of patients split into gallery and probe sets. Each patient has exactly 2 recordings, where one is put into the gallery and one into the probe set. The task is to find the most similar gallery element for each probe element independently. This task relies on models capable of representing elements and calculating their similarities."
ecg-qrs-detection,ECG QRS Detection,
ecg-risk-stratification,Ecg Risk Stratification,
ecg-wave-delineation,ECG Wave Delineation,"Delineation of the waveforms P, T and QRS complexes from ECG signals"
ecommerce,Ecommerce,
econometrics,Econometrics,
edge-classification,Edge Classification,
edge-computing,Edge-computing,Deep Learning on EDGE devices
edge-detection,Edge Detection,"**Edge Detection** is a fundamental image processing technique which involves computing an image gradient to quantify the magnitude and direction of edges in an image. Image gradients are used in various downstream tasks in computer vision such as line detection, feature detection, and image classification.


<span class=""description-source"">Source: [Artistic Enhancement and Style Transfer of Image Edges using Directional Pseudo-coloring ](https://arxiv.org/abs/1906.07981)</span>

( Image credit: [Kornia](https://github.com/kornia/kornia) )"
editcompletion,EditCompletion,"Given a code snippet that is partially edited, the goal is to predict a completion of the edit for the rest of the snippet."
edit-script-generation,Edit script generation,"Generating edit scripts by comparing 2 different files or strings to convert one to another. this script will contain instruction like insert, delete and substitute."
eeg-4-classes,EEG 4 classes,
eeg-artifact-removal,EEG Artifact Removal,
eeg-based-sleep-staging,EEG based sleep staging,Sleep staging from only EEG signal
eeg-decoding,Eeg Decoding,**EEG Decoding** - extracting useful information directly from EEG data.
eeg-denoising,EEG Denoising,
eeg-emotion-recognition,EEG Emotion Recognition,Emotion Recognition using EEG signals
eeg-left-right-hand,EEG Left/Right hand,
efficient-exploration,Efficient Exploration,"**Efficient Exploration** is one of the main obstacles in scaling up modern deep reinforcement learning algorithms. The main challenge in Efficient Exploration is the balance between exploiting current estimates, and gaining information about poorly understood states and actions.


<span class=""description-source"">Source: [Randomized Value Functions via Multiplicative Normalizing Flows ](https://arxiv.org/abs/1806.02315)</span>"
efficient-neural-network,Efficient Neural Network,
egocentric-activity-recognition,Egocentric Activity Recognition,
egocentric-pose-estimation,Egocentric Pose Estimation,
eikonal-tomography,Eikonal Tomography,
electrical-engineering,Electrical Engineering,
electrocardiography-ecg,Electrocardiography (ECG),
eeg,Electroencephalogram (EEG),"**Electroencephalogram (EEG)** is a method of recording brain activity using electrophysiological indexes. When the brain is active, a large number of postsynaptic potentials generated synchronously by neurons are formed after summation. It records the changes of electric waves during brain activity and is the overall reflection of the electrophysiological activities of brain nerve cells on the surface of cerebral cortex or scalp. Brain waves originate from the postsynaptic potential of the apical dendrites of pyramidal cells. The formation of synchronous rhythm of EEG is also related to the activity of nonspecific projection system of cortex and thalamus. EEG is the basic theoretical research of brain science. EEG monitoring is widely used in its clinical application."
electromyography-emg,Electromyography (EMG),
electron-microscopy-image-segmentation,Electron Microscopy Image Segmentation,
electron-tomography,Electron Tomography,
elementary-mathematics,Elementary Mathematics,
email-thread-summarization,Email Thread Summarization,Image credit: [EmailSum: Abstractive Email Thread Summarization](https://paperswithcode.com/paper/emailsum-abstractive-email-thread)
embeddings-evaluation,Embeddings Evaluation,
embodied-question-answering,Embodied Question Answering,
emergent-communications-on-relations,Emergent communications on relations,Emergent communications in the context of relations.
emg-gesture-recognition,EMG Gesture Recognition,Electromyographic Gesture Recognition
emg-signal-prediction,EMG Signal Prediction,
emotional-dialogue-acts,Emotional Dialogue Acts,"Associating Emotions and Dialogue Acts to find unique relationships between them such as Accept/Agree dialogue acts often occur with the Joy emotion, Apology with Sadness, or Thanking with Joy. 
First introduced in the paper EDA: Enriching Emotional Dialogue Acts using an Ensemble of Neural Annotators, LREC 2020 (https://aclanthology.org/2020.lrec-1.78/)."
emotional-intelligence,Emotional Intelligence,
emotional-speech-synthesis,Emotional Speech Synthesis,
emotion-cause-extraction,Emotion Cause Extraction,
emotion-cause-pair-extraction,Emotion-Cause Pair Extraction,
emotion-classification,Emotion Classification,"Emotion classification, or emotion categorization, is the task of recognising emotions to classify them into the corresponding category. Given an input, classify it as 'neutral or no emotion' or as one, or more, of several given emotions that best represent the mental state of the subject's facial expression, words, and so on. Some example benchmarks include ROCStories, Many Faces of Anger (MFA), and GoEmotions. Models can be evaluated using metrics such as the Concordance Correlation Coefficient (CCC) and the Mean Squared Error (MSE)."
emotion-detection-and-trigger-summarization,Emotion Detection and Trigger Summarization,
emotion-recognition,Emotion Recognition,"**Emotion Recognition** is an important area of research to enable effective human-computer interaction. Human emotions can be detected using speech signal, facial expressions, body language, and electroencephalography (EEG). <span class=""description-source"">Source: [Using Deep Autoencoders for Facial Expression Recognition ](https://arxiv.org/abs/1801.08329)</span>"
emotion-recognition-in-context,Emotion Recognition in Context,
emotion-recognition-in-conversation,Emotion Recognition in Conversation,"Given the transcript of a conversation along with speaker information of each constituent utterance, the ERC task aims to identify the emotion of each utterance from several pre-defined emotions. Formally, given the input sequence of N number of utterances [(u1, p1), (u2, p2), . . . , (uN , pN )], where each utterance ui = [ui,1, ui,2, . . . , ui,T ] consists of T words ui,j and spoken by party pi, the task is to predict the emotion label ei of each utterance ui.
."
empathetic-response-generation,Empathetic Response Generation,Generate empathetic responses in dialogues
empirical-judgments,Empirical Judgments,"Drawing inspiration from Immanuel Kant, this task measures a model’s ability to distinguish between two kinds of empirical judgments: judgments that assert a correlative relation between empirical events, and judgments that assert a causal relation.

Source: [BIG-bench](https://github.com/google/BIG-bench/tree/main/bigbench/benchmark_tasks/empirical_judgments)"
em-showers-clusterization,EM showers clusterization,
end-to-end-dialogue-modelling,End-To-End Dialogue Modelling,
energy-management,energy management,"energy management is to schedule energy units inside the systems, enabling an reliable, safe and cost-effective operation"
energy-trading,energy trading,
engaging-comment-classification,Engaging Comment Classification,
english-conversational-speech-recognition,English Conversational Speech Recognition,
english-proverbs,English Proverbs,
ensemble-learning,Ensemble Learning,
ensemble-pruning,Ensemble Pruning,
entailed-polarity,Entailed Polarity,
entity-alignment,Entity Alignment,"**Entity Alignment** is the task of finding entities in two knowledge bases that refer to the same real-world object. It plays a vital role in automatically integrating multiple knowledge bases.  
Note: results that have incorporated machine translated entity names (introduced in the RDGCN paper) or pre-alignment name embeddings are considered to have used **extra training labels** (both are marked with ""Extra Training Data"" in the leaderboard) and are **not adhere to a comparable setting** with others that have followed the original setting of the benchmark.

<span class=""description-source"">Source: [Cross-lingual Entity Alignment via Joint Attribute-Preserving Embedding ](https://arxiv.org/abs/1708.05045)</span>

The task of entity alignment is related to the task of [entity resolution](https://paperswithcode.com/task/entity-resolution) which focuses on matching structured entity descriptions in different contexts."
entity-cross-document-coreference-resolution,Entity Cross-Document Coreference Resolution,
entity-disambiguation,Entity Disambiguation,"**Entity Disambiguation** is the task of linking mentions of ambiguous entities to their referent entities in a knowledge base such as Wikipedia.


<span class=""description-source"">Source: [Leveraging Deep Neural Networks and Knowledge Graphs for Entity Disambiguation ](https://arxiv.org/abs/1504.07678)</span>"
entity-embeddings,Entity Embeddings,Entity Embeddings is a technique for applying deep learning to tabular data. It involves representing the categorical data of an information systems entity with multiple dimensions.
entity-extraction-1,entity_extraction,
entity-extraction,Entity Extraction using GAN,
entity-linking,Entity Linking,"Assigning a unique identity to entities (such as famous individuals, locations, or companies) mentioned in text (Source: Wikipedia)."
entity-resolution,Entity Resolution,"**Entity resolution** (also known as entity matching, record linkage, or duplicate detection) is the task of finding records that refer to the same real-world entity across different data sources (e.g., data files, books, websites, and databases). (Source: Wikipedia)

Surveys on entity resolution:

- [Vassilis et al.: End-to-End Entity Resolution for Big Data: A Survey](https://arxiv.org/pdf/1905.06397.pdf), 2020.

- [Barlaug and Gulla: Neural Networks for Entity Matching: A Survey](https://arxiv.org/pdf/2010.11075.pdf), 2021.

The task of entity resolution is closely related to the task of [entity alignment](https://paperswithcode.com/task/entity-alignment) which focuses on matching entities between knowledge bases. The task of [entity linking](https://paperswithcode.com/task/entity-linking) differs from entity resolution as entity linking focuses on identifying entity mentions in free text."
entity-retrieval,Entity Retrieval,
entity-typing,Entity Typing,"**Entity Typing** is an important task in text analysis. Assigning types (e.g., person, location, organization) to mentions of entities in documents enables effective structured analysis of unstructured text corpora. The extracted type information can be used in a wide range of ways (e.g., serving as primitives for information extraction and knowledge base (KB) completion, and assisting question answering). Traditional Entity Typing systems focus on a small set of coarse types (typically fewer than 10). Recent studies work on a much larger set of fine-grained types which form a tree-structured hierarchy (e.g., actor as a subtype of artist, and artist is a subtype of person).


<span class=""description-source"">Source: [Label Noise Reduction in Entity Typing by Heterogeneous Partial-Label Embedding ](https://arxiv.org/abs/1602.05307)</span>

<span class=""description-source"">Image Credit: [Label Noise Reduction in Entity Typing by Heterogeneous Partial-Label Embedding ](https://arxiv.org/abs/1602.05307)</span>"
entity-typing-on-dh-kgs,Entity Typing on DH-KGs,
enumerative-search,Enumerative Search,
environmental-sound-classification,Environmental Sound Classification,Classification of Environmental Sounds. Most often sounds found in Urban environments. Task related to noise monitoring.
environment-sound-classification,Environment Sound Classification,
epidemiology,Epidemiology,"**Epidemiology** is a scientific discipline that provides reliable knowledge for clinical medicine focusing on prevention, diagnosis and treatment of diseases. Research in Epidemiology aims at characterizing risk factors for the outbreak of diseases and at evaluating the efficiency of certain treatment strategies, e.g., to compare a new treatment with an established gold standard. This research is strongly hypothesis-driven and statistical analysis is the major tool for epidemiologists so far. Correlations between genetic factors, environmental factors, life style-related parameters, age and diseases are analyzed.


<span class=""description-source"">Source: [Visual Analytics of Image-Centric Cohort Studies in Epidemiology ](https://arxiv.org/abs/1501.04009)</span>"
epigenetic-marks-prediction,Epigenetic Marks Prediction,
epilepsy-prediction,Epilepsy Prediction,
episode-classification,Episode Classification,The episode classification is a branch of the classification aiming to classify groups of observations of a Time Series. (Example: critical episodes/ normal episode)
epistemic-reasoning,Epistemic Reasoning,
ethics,Ethics,
evaluating-information-essentiality,Evaluating Information Essentiality,
event-argument-extraction,Event Argument Extraction,
event-based-motion-estimation,Event-based Motion Estimation,
event-based-optical-flow,Event-based Optical Flow,
event-based-vision,Event-based vision,"An event camera, also known as a neuromorphic camera, silicon retina or dynamic vision sensor, is an imaging sensor that responds to local changes in brightness. Event cameras do not capture images using a shutter as conventional cameras do. Instead, each pixel inside an event camera operates independently and asynchronously, reporting changes in brightness as they occur and staying silent otherwise. Modern event cameras have microsecond temporal resolution, 120 dB dynamic range, and less under/overexposure and motion blur than frame cameras."
event-causality-identification,Event Causality Identification,
event-coreference-resolution,Event Coreference Resolution,
event-cross-document-coreference-resolution,Event Cross-Document Coreference Resolution,
event-data-classification,Event data classification,
event-detection,Event Detection,
event-driven-trading,Event-Driven Trading,Making stock trading decisions based on events.
event-expansion,Event Expansion,
event-extraction,Event Extraction,"Determine the extent of the events in a text.

Other names: Event Tagging; Event Identification"
event-relation-extraction,Event Relation Extraction,"To extract relations among events, such as event coreference, temporal, causal and subevent relations."
event-segmentation,Event Segmentation,
evidence-selection,Evidence Selection,
evolutionary-algorithms,Evolutionary Algorithms,
evolving-domain-generalization,Evolving Domain Generalization,
exception-type,Exception type,
experimental-design,Experimental Design,
explainable-artificial-intelligence,Explainable artificial intelligence,"XAI refers to methods and techniques in the application of artificial intelligence (AI) such that the results of the solution can be understood by humans. It contrasts with the concept of the ""black box"" in machine learning where even its designers cannot explain why an AI arrived at a specific decision. XAI may be an implementation of the social right to explanation. XAI is relevant even if there is no legal right or regulatory requirement—for example, XAI can improve the user experience of a product or service by helping end users trust that the AI is making good decisions. This way the aim of XAI is to explain what has been done, what is done right now, what will be done next and unveil the information the actions are based on. These characteristics make it possible (i) to confirm existing knowledge (ii) to challenge existing knowledge and (iii) to generate new assumptions."
xai,Explainable Artificial Intelligence (XAI),Explainable Artificial Intelligence
explainable-models,Explainable Models,
explainable-recommendation,Explainable Recommendation,
explanation-fidelity-evaluation,Explanation Fidelity Evaluation,Evaluation of explanation fidelity with respect to the underlying model.
explanation-generation,Explanation Generation,
exploring-the-power-of-sets-application-in,Exploring The Power Of Sets:  Application In Data Science And Machine Learnings,
exponential-degradation,Exponential degradation,Exponential degradation  used to solve problems where systems exposed to an exponential loss in performances such as reparable industrial systems.
exposure-fairness,Exposure Fairness,
expressive-speech-synthesis,Expressive Speech Synthesis,
extended-summarization,Extended Summarization,
extract-aspect,Extract Aspect,"Aspect extraction is the task of identifying and extracting terms relevant for opinion mining and sentiment analysis, for example terms for product attributes or features."
extract-aspect-polarity-tuple,Extract aspect-polarity tuple,
extracting-buildings-in-remote-sensing-images,Extracting Buildings In Remote Sensing Images,
extracting-covid-19-events-from-twitter,Extracting COVID-19 Events from Twitter,
extractive-document-summarization-1,Extractive Document Summarization,
extractive-question-answering,Extractive Question-Answering,
extractive-summarization,Extractive Summarization,
extractive-tags-summarization,Extractive Tags Summarization,"The goal of Extractive Tags Summarization (ETS) task is to shorten the list of tags corresponding to a digital image while keeping the representativity; i.e., is to extract important tags from the context lying in an image and its corresponding tags."
extractive-document-summarization,Extractive Text Summarization,"Given a document, selecting a subset of the words or sentences which best represents a summary of the document."
extreme-multi-label-classification,Extreme Multi-Label Classification,Extreme Multi-Label Classification is a supervised learning problem where an instance may be associated with multiple labels. The two main problems are the unbalanced labels in the dataset and the amount of different labels.
extreme-sample-generation,Extreme Sample Generation,
extreme-summarization,Extreme Summarization,Image credit: [TLDR: Extreme Summarization of Scientific Documents](https://arxiv.org/pdf/2004.15011v3.pdf)
extreme-video-frame-interpolation,eXtreme-Video-Frame-Interpolation,"Type of Video Frame Interpolation (VFI) that interpolates an intermediate frame on X4K1000FPS dataset containing 4K videos of 1000 fps with the extreme motion. The dataset has a wide variety of textures, extremely large motions, zoomings and occlusions, which have never been seen in the previous VFI benchmark datasets."
face-age-editing,Face Age Editing,
face-alignment,Face Alignment,"Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation.

<span style=""color:grey; opacity: 0.6"">( Image credit: [3DDFA_V2](https://github.com/cleardusk/3DDFA_V2) )</span>"
face-anonymization,Face Anonymization,
face-anti-spoofing,Face Anti-Spoofing,"Facial anti-spoofing is the task of preventing false facial verification by using a photo, video, mask or a different substitute for an authorized person’s face. Some examples of attacks:

- **Print attack**: The attacker uses someone’s photo. The image is printed or displayed on a digital device.

- **Replay/video attack**: A more sophisticated way to trick the system, which usually requires a looped video of a victim’s face. This approach ensures behaviour and facial movements to look more ‘natural’ compared to holding someone’s photo.

- **3D mask attack**: During this type of attack, a mask is used as the tool of choice for spoofing. It’s an even more sophisticated attack than playing a face video. In addition to natural facial movements, it enables ways to deceive some extra layers of protection such as depth sensors.


<span style=""color:grey; opacity: 0.6"">( Image credit: [Learning Generalizable and Identity-Discriminative Representations for Face Anti-Spoofing](https://github.com/XgTu/GFA-CNN) )</span>"
face-clustering,Face Clustering,Face Clustering in the videos
face-detection,Face Detection,"**Face Detection** is a computer vision task that involves automatically identifying and locating human faces within digital images or videos. It is a fundamental technology that underpins many applications such as face recognition, face tracking, and facial analysis.

<span style=""color:grey; opacity: 0.6"">( Image credit: [insightface](https://github.com/deepinsight/insightface) )</span>"
face-generation,Face Generation,"Face generation is the task of generating (or interpolating) new faces from an existing dataset.

The state-of-the-art results for this task are located in the Image Generation parent.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Progressive Growing of GANs for Improved Quality, Stability, and Variation
](https://arxiv.org/pdf/1710.10196v3.pdf) )</span>"
face-hallucination,Face Hallucination,"Face hallucination is the task of generating high-resolution (HR) facial images from low-resolution (LR) inputs.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Deep CNN Denoiser and Multi-layer Neighbor Component Embedding for Face Hallucination](https://arxiv.org/pdf/1806.10726v1.pdf) )</span>"
face-identification,Face Identification,Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is.
face-image-quality,Face Image Quality,
face-image-quality-assessment,Face Image Quality Assessment,
face-image-retrieval,Face Image Retrieval,"Face image retrieval is the task of retrieving faces similar to a query, according to the given
criteria (e.g. identity) and rank them using their distances to the query.

<span style=""color:grey; opacity: 0.6"">( Image credit: [CP-mtML](http://openaccess.thecvf.com/content_cvpr_2016/papers/Bhattarai_CP-mtML_Coupled_Projection_CVPR_2016_paper.pdf) )</span>"
face-model,Face Model,
face-morphing-attack-detection,Face Morphing Attack Detection,
face-parsing,Face Parsing,Classify pixels of a face image into different classes based on a given bounding box.
face-presentation-attack-detection,Face Presentation Attack Detection,
face-quality-assessement,Face Quality Assessement,Estimate the usability of a given face image for recognition
face-quality-sasessement,Face Quality sAsessement,
face-recognition,Face Recognition,"**Facial Recognition** is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.

The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Face Verification](https://shuftipro.com/face-verification) )</span>"
face-recognition-closed-set,Face Recognition (Closed-Set),
face-reconstruction,Face Reconstruction,"Face reconstruction is the task of recovering the facial geometry of a face from an image.

<span style=""color:grey; opacity: 0.6"">( Image credit: Microsoft [Deep3DFaceReconstruction](https://github.com/Microsoft/Deep3DFaceReconstruction) )</span>"
face-reenactment,Face Reenactment,"**Face Reenactment** is an emerging conditional face synthesis task that aims at fulfilling two goals simultaneously: 1) transfer a source face shape to a target face; while 2) preserve the appearance and the identity of the target face.


<span class=""description-source"">Source: [One-shot Face Reenactment ](https://arxiv.org/abs/1908.03251)</span>"
face-selection,Face Selection,A task where an agent should select at most two sentences from the paper as argumentative facts.
face-sketch-synthesis,Face Sketch Synthesis,"Face sketch synthesis is the task of generating a sketch from an input face photo.

<span style=""color:grey; opacity: 0.6"">( Image credit: [High-Quality Facial Photo-Sketch Synthesis Using Multi-Adversarial Networks](https://arxiv.org/pdf/1710.10182v2.pdf) )</span>"
face-swapping,Face Swapping,"Face swapping refers to the task of swapping faces between images or in an video, while maintaining the rest of the body and environment context.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Swapped Face Detection using Deep Learning and Subjective Assessment](https://arxiv.org/pdf/1909.04217v1.pdf) )</span>"
face-to-face-translation,Face to Face Translation,"Given a video of a person speaking in a source language, generate a video of the same person speaking in a target language."
